Bank,Year,Net_Income,Revenue,ROE,ROA,Efficiency_Ratio
JPMC,2018,32474,109029,0.1266,0.0124,0.5814
WF,2018,22393,86408,0.1136,0.0118,0.4214
JPMC,2019,36431,115720,0.1394,0.0136,0.5640
WF,2019,19549,85063,0.1040,0.0101,0.4448
JPMC,2020,29131,119951,0.1043,0.0086,0.5557
WF,2020,3301,72340,0.0178,0.0017,0.4493
JPMC,2021,48334,121649,0.1643,0.0129,0.5865
WF,2021,21548,78492,0.1133,0.0111,0.5442
JPMC,2022,37676,128695,0.1289,0.0103,0.5916
WF,2022,13182,73785,0.0725,0.0070,0.3908
JPMC,2023,49552,158104,0.1511,0.0128,0.5514
WF,2023,19142,82597,0.1021,0.0099,0.3659
JPMC,2024,58471,177556,0.1696,0.0146,0.5170
WF,2024,19722,82296,0.1089,0.0102,0.4207
